CO2;Flow;Rcapture;RCO2;Qreb;Treb;Wpumps;Wcfg;Wc1;Wc2;Wc3;Wrefr1;Wrefr2;Wrecomp;Makeup;Habs;Dabs;Qwash;Tinwash;Toutwash;Qtoabs;Tintoabs;Touttoabs;Qstrip;Tinstrip;Toutstrip;Qlean;Tinlean;Toutlean;Qint2;Tinint2;Toutint2;Qint1;Tinint1;Toutint1;Qdcc;Tindcc;Toutdcc;Qdhx;Tindhx;Toutdhx;Qdry;Tindry;Toutdry;Qdum;Tindum;Toutdum;Qliq;COP;Qrcond;Tinrcond;Toutrcond;Qrint;Tinrint;Toutrint;Qpreliq;Tinpreliq;Toutpreliq
11;140;94;0,940342037;80088,8144;121,120548;102,2677176;3056,92773;1522,10593;1418,63794;1279,60333;1564,96912;1253,66983;70,6766116;0,043351828;22;9,09410371;-1051,4428;330,6311001;303,15;-24142,5063;423,15;294,15;-16372,4361;367,88512;303,15;-13051,0196;321,2214905;313,15;-1505,41301;367,4499408;293,15;-2111,89303;378,5918348;293,15;-6019,45034;293,15;283,15;-12352,8123;323,3871543;303,15;-25225,5125;330,3303613;313,15;-5417,81431;459,7618564;423,15;-7232,788;2,566056926;-8955,08914;376,9693477;303,6846362;-955,405206;354,9594962;293,15;-1643,08243;358,8476648;293,15
11;140;90;0,905563812;74878,9152;121,156193;98,3078785;3056,92773;1465,84604;1366,20172;1232,30839;1507,07916;1207,29518;68,1207369;0,045760833;22;9,03017558;-1111,45783;332,1516517;303,15;-24142,5063;423,15;294,15;-14876,7744;366,921536;303,15;-10608,5775;320,2221546;313,15;-1449,77068;367,449796;293,15;-2033,84087;378,5916816;293,15;-6019,45034;293,15;283,15;-12352,8123;323,3871543;303,15;-28937,8243;331,8501775;313,15;-5417,81431;459,7618564;423,15;-6965,23907;2,566056924;-8623,83037;376,9693477;303,6846362;-920,063698;354,9594962;293,15;-1583,75503;358,8992728;293,15
11;140;86;0,859455358;70108,8728;121,176103;95,057644;3056,92773;1391,19293;1296,62305;1169,54827;1430,28635;1145,77778;64,6715689;0,043022572;22;8,91102598;-1117,56087;332,3199378;303,15;-24142,5063;423,15;294,15;-13762,615;366,4918577;303,15;-9008,5119;319,5849635;313,15;-1375,93658;367,4497418;293,15;-1930,26318;378,5916243;293,15;-6019,45034;293,15;283,15;-12352,8123;323,3871543;303,15;-29542,1356;332,0213329;313,15;-5417,81431;459,7618564;423,15;-6610,32721;2,566056929;-8184,40544;376,9693477;303,6846362;-873,182103;354,9594962;293,15;-1500,75258;358,7933201;293,15
11;140;82;0,813314969;65997,0887;121,1891;92,4023592;3056,92773;1316,48274;1226,99146;1106,73871;1353,46246;1084,23548;61,2026471;0,039392845;22;8,79441085;-1107,50371;332,0793279;303,15;-24142,5063;423,15;294,15;-12907,742;366,3407742;303,15;-7839,98716;319,10502;313,15;-1302,046;367,4497338;293,15;-1826,60378;378,5916125;293,15;-6019,45034;293,15;283,15;-12352,8123;323,3871543;303,15;-29125,7059;331,7840186;313,15;-5417,81431;459,7618564;423,15;-6255,27167;2,566056921;-7744,80261;376,9693477;303,6846362;-826,281528;354,9594962;293,15;-1421,77245;358,8688428;293,15
11;140;78;0,783387356;63489,1153;121,195969;90,8244113;3056,92773;1268,02528;1181,82804;1066,00136;1303,66783;1044,34586;58,9498386;0,036989114;22;8,72132905;-1097,14865;331,8253382;303,15;-24142,5063;423,15;294,15;-12420,7065;366,3243332;303,15;-7183,33044;318,8218969;313,15;-1254,11995;367,4497372;293,15;-1759,36937;378,5916156;293,15;-6019,45034;293,15;283,15;-12352,8123;323,3871543;303,15;-28614,409;331,5322911;313,15;-5417,81431;459,7618564;423,15;-6025,13677;2,566056917;-7459,86705;376,9693477;303,6846362;-795,882174;354,9594962;293,15;-1370,71272;358,9298237;293,15
11;110;94;0,939729398;62768,431;121,122287;80,229009;2401,87179;1194,25876;1113,07678;1003,98914;1227,89424;983,644939;55,4558661;0,034310825;22;8,06116208;-1057,54067;330,7230151;303,15;-18969,1122;423,15;294,15;-12819,271;367,8509756;303,15;-10166,1182;321,174608;313,15;-1181,16135;367,4499355;293,15;-1657,01156;378,5918291;293,15;-4729,56133;293,15;283,15;-9705,76681;323,3871543;303,15;-19851,7321;330,3519102;313,15;-4256,8541;459,7618564;423,15;-5674,93542;2,566056923;-7026,27432;376,9693477;303,6846362;-749,622808;354,9594962;293,15;-1289,25791;358,8511241;293,15
11;110;90;0,907932279;59054,4413;121,154756;77,3991401;2401,87179;1154,74858;1076,25185;970,77376;1187,2231;951,063989;53,6613876;0,036006969;22;8,00966419;-1112,63494;332,1103983;303,15;-18969,1122;423,15;294,15;-11745,2994;366,9583548;303,15;-8418,97327;320,2643521;313,15;-1142,08499;367,449802;293,15;-1602,19711;378,5916878;293,15;-4729,56133;293,15;283,15;-9705,76681;323,3871543;303,15;-22507,0553;331,7398479;313,15;-4256,8541;459,7618564;423,15;-5486,96639;2,566056924;-6793,54533;376,9693477;303,6846362;-724,793297;354,9594962;293,15;-1246,54532;358,8418575;293,15
11;110;86;0,859392234;55085,1593;121,176113;74,7959469;2401,87179;1092,99974;1018,70035;918,861843;1123,72862;900,199655;50,810199;0,03379839;22;7,89871385;-1120,24977;332,3136785;303,15;-18969,1122;423,15;294,15;-10813,1536;366,4925865;303,15;-7081,92387;319,5884224;313,15;-1081,01367;367,4497459;293,15;-1516,52352;378,5916248;293,15;-4729,56133;293,15;283,15;-9705,76681;323,3871543;303,15;-23055,2211;331,9466292;313,15;-4256,8541;459,7618564;423,15;-5193,51517;2,566056927;-6430,2163;376,9693477;303,6846362;-686,03026;354,9594962;293,15;-1179,89879;358,8389362;293,15
11;110;82;0,812513374;51796,0018;121,189337;72,7577378;2401,87179;1033,35948;963,114199;868,722785;1062,38581;851,058989;48,0405164;0,030905248;22;7,79362885;-1110,02239;332,0678395;303,15;-18969,1122;423,15;294,15;-10130,5281;366,3386608;303,15;-6142,53583;319,0950575;313,15;-1022,02752;367,4497327;293,15;-1433,77365;378,591613;293,15;-4729,56133;293,15;283,15;-9705,76681;323,3871543;303,15;-22721,4385;331,7042399;313,15;-4256,8541;459,7618564;423,15;-4910,00829;2,566056932;-6079,1996;376,9693477;303,6846362;-648,580808;354,9594962;293,15;-1115,52349;358,8400401;293,15
11;110;78;0,776649265;49452,2194;121,197332;71,3451216;2401,87179;987,733484;920,589792;830,367015;1015,48554;813,487984;45,9182001;0,028632722;22;7,71624054;-1097,12178;331,7509101;303,15;-18969,1122;423,15;294,15;-9675,80219;366,3253929;303,15;-5535,71688;318,7614116;313,15;-976,901779;367,4497341;293,15;-1370,46809;378,5916137;293,15;-4729,56133;293,15;283,15;-9705,76681;323,3871543;303,15;-22218,3509;331,3900659;313,15;-4256,8541;459,7618564;423,15;-4693,25017;2,566056921;-5810,82615;376,9693477;303,6846362;-619,948442;354,9594962;293,15;-1066,28937;358,8411605;293,15
